Game Number, Win Game, Money
1,True,100
2,False,100
3,False,90
4,True,190
5,True,290
6,False,190
7,True,191
8,True,192
9,True,193
10,True,194
11,True,214
12,True,234
13,False,234
14,False,234
15,False,229
16,True,279
17,True,329
18,False,319
19,False,309
